"ID","x","y","Negative","Neutral","Positive","id","n"
1,-81.4999999945661,24.500000454001,1,0,2,1,3
2,-82.8928571387205,24.5357147397485,2,0,5,2,7
3,-82.6010441306576,25.4833463970532,2,2,12,3,16
4,-82.9739596428939,26.4768038140209,4,3,30,4,37
5,-83.6499,27.54724,9,9,101,5,119
6,-83.8916,28.55558,9,6,114,6,129
7,-84.073390993929,29.4201797271516,4,4,73,7,81
8,-85.4994613110132,29.3707569666801,2,3,52,8,57
9,-86.48438,29.8597,6,3,26,9,35
10,-87.40723,29.89781,9,2,28,10,39
11,-88.4971693922519,29.6946519948162,3,2,13,11,18
12,-89.4064410936887,29.87,0,0,2,12,2
13,-89.5469425607431,28.8454642676195,0,1,0,13,1
14,-90.7467781342995,28.9221835975869,0,0,2,14,2
15,-91.5272088001187,28.7894384111332,1,0,2,15,3
16,-92.5007904906634,28.8138429936333,1,0,0,16,1
18,-94.4961324513092,28.8019967130272,0,2,0,18,2
19,-95.7871213220419,28.3766610789453,1,1,0,19,2
20,-96.5912355544962,27.5697063273024,0,1,0,20,1
21,-96.9565769710638,26.5223207833171,0,1,0,21,1
